"","feed_pub_date","item_title","item_description","item_link"
"1",2021-01-20 14:02:00,"EU and BioNTech/Pfizer clash over reduced vaccine deliveries - Financial Times","EU and BioNTech/Pfizer clash over reduced vaccine deliveries&nbsp;&nbsp;Financial TimesEuropeans Clash With Pfizer, BioNTech Over Covid-19 Vaccine Deliveries&nbsp;&nbsp;The Wall Street JournalNorway ready for reduced Pfizer/BioNTech vaccine into Feb&nbsp;&nbsp;Yahoo News UKNorway Stockpiles Vaccines For Emergency Use, Will Wait For Pfizer/BioNTech Vaccines By Feb&nbsp;&nbsp;India.comManitoba reassessing vaccine appointments after 2nd reduction in Pfizer-BioNTech shipments&nbsp;&nbsp;CBC.caView Full coverage on Google News","https://www.ft.com/content/59a014d0-aacc-43a5-b061-8ea4b25c3c00"
"2",2021-01-20 14:02:00,"BioNTech/Pfizer vaccine found effective against Covid-19 variant - Financial Times","BioNTech/Pfizer vaccine found effective against Covid-19 variant&nbsp;&nbsp;Financial TimesPfizer and BioNTech, scaling up for 2B coronavirus vaccine doses, temporarily cut deliveries in EU, Canada&nbsp;&nbsp;FiercePharmaPfizer-BioNTech vaccine found to be effective against Covid variant discovered in UK&nbsp;&nbsp;CNBCBioNTech-Pfizer vaccine likely to protect against highly infectious UK variant&nbsp;&nbsp;DW (English)Pfizer, BioNTech's COVID-19 vaccine likely to be effective against UK strain&nbsp;&nbsp;PharmaTimesView Full coverage on Google News","https://www.ft.com/content/943c8ca9-0c92-4366-8ab4-b569a1e123b8"
"3",2021-01-20 14:02:00,"Pfizer-BioNTech Shot Likely to Foil Mutant, New Study Shows - Bloomberg","Pfizer-BioNTech Shot Likely to Foil Mutant, New Study Shows&nbsp;&nbsp;Bloomberg","https://www.bloomberg.com/news/articles/2021-01-20/pfizer-biontech-shot-likely-to-defeat-mutant-new-study-shows"
"4",2021-01-20 14:02:00,"BioNTech and Pfizer plan to supply 700m more Covid vaccine doses - Financial Times","BioNTech and Pfizer plan to supply 700m more Covid vaccine doses&nbsp;&nbsp;Financial Times","https://www.ft.com/content/338fa31b-6b4d-4184-b41b-98388652a943"
"5",2021-01-20 14:02:00,"Stolen Pfizer/BioNTech Covid-19 vaccine data leaked - ComputerWeekly.com","Stolen Pfizer/BioNTech Covid-19 vaccine data leaked&nbsp;&nbsp;ComputerWeekly.com","https://www.computerweekly.com/news/252494741/Stolen-Pfizer-BioNTech-Covid-19-vaccine-data-leaked"
"6",2021-01-20 14:02:00,"Commission proposes to purchase up to 300 million additional doses of BioNTech-Pfizer vaccine - EU News","Commission proposes to purchase up to 300 million additional doses of BioNTech-Pfizer vaccine&nbsp;&nbsp;EU News","https://ec.europa.eu/commission/presscorner/detail/en/ip_21_9"
"7",2021-01-20 14:02:00,"Remember normal? Pfizer and BioNTech join with health groups to remind us—and promote COVID-19 vaccine safety - FiercePharma","Remember normal? Pfizer and BioNTech join with health groups to remind us—and promote COVID-19 vaccine safety&nbsp;&nbsp;FiercePharma","https://www.fiercepharma.com/marketing/pfizer-and-biontech-join-health-groups-to-promote-covid-19-vaccine-safety"
"8",2021-01-20 14:02:00,"Chinese state media attacks BioNTech-Pfizer vaccine, even as China prepares to roll it out - Fortune","Chinese state media attacks BioNTech-Pfizer vaccine, even as China prepares to roll it out&nbsp;&nbsp;Fortune","https://fortune.com/2021/01/20/china-covid-vaccine-pfizer-biontech-norway/"
"9",2021-01-20 14:02:00,"Pfizer, BioNTech cut back vaccine deliveries to EU at 'short notice' - Deutsche Welle","Pfizer, BioNTech cut back vaccine deliveries to EU at 'short notice'&nbsp;&nbsp;Deutsche Welle","https://www.dw.com/en/pfizer-biontech-cut-back-vaccine-deliveries-to-eu-at-short-notice/a-56237275"
"10",2021-01-20 14:02:00,"Hong Kong health chief set to approve Covid-19 jab as storage facility selected - South China Morning Post","Hong Kong health chief set to approve Covid-19 jab as storage facility selected&nbsp;&nbsp;South China Morning Post","https://www.scmp.com/news/hong-kong/health-environment/article/3118557/coronavirus-hong-kong-set-approve-biontech-jab"
"11",2021-01-20 14:02:00,"Coronavirus company news summary - Pfizer/BioNTech Covid-19 vaccine found to be effective against UK variant - GC Pharma moves closer to submitting a EUA in Korea for its plasma Covid-19 therapy - pharmaceutical-technology.com","Coronavirus company news summary - Pfizer/BioNTech Covid-19 vaccine found to be effective against UK variant - GC Pharma moves closer to submitting a EUA in Korea for its plasma Covid-19 therapy&nbsp;&nbsp;pharmaceutical-technology.com","https://www.pharmaceutical-technology.com/uncategorised/coronavirus-company-news-summary-pfizer-biontech-covid-19-vaccine-found-to-be-effective-against-uk-variant-gc-pharma-moves-closer-to-submitting-a-eua-in-korea-for-its-plasma-covid-19-therapy/"
"12",2021-01-20 14:02:00,"EU set to more than double supply of BioNTech/Pfizer Covid vaccine - Financial Times","EU set to more than double supply of BioNTech/Pfizer Covid vaccine&nbsp;&nbsp;Financial Times","https://www.ft.com/content/f30859b3-98e6-42bb-831e-070b98b4e5de"
"13",2021-01-20 14:02:00,"BioNTech, firm behind Pfizer's COVID-19 jab, develops potential vaccine for multiple sclerosis - Yahoo Finance UK","BioNTech, firm behind Pfizer's COVID-19 jab, develops potential vaccine for multiple sclerosis&nbsp;&nbsp;Yahoo Finance UK","https://uk.finance.yahoo.com/news/biontech-pfizer-covid-19-vaccine-multiple-sclerosis-160017529.html"
"14",2021-01-20 14:02:00,"WHO clears Pfizer/BioNTech coronavirus vaccine for emergency use - POLITICO.eu","WHO clears Pfizer/BioNTech coronavirus vaccine for emergency use&nbsp;&nbsp;POLITICO.eu","https://www.politico.eu/article/who-clears-pfizer-biontech-coronavirus-vaccine-emergency-use/"
"15",2021-01-20 14:02:00,"The inside story behind Pfizer and BioNTech's new vaccine brand name, Comirnaty - FiercePharma","The inside story behind Pfizer and BioNTech's new vaccine brand name, Comirnaty&nbsp;&nbsp;FiercePharma","https://www.fiercepharma.com/marketing/pfizer-biontech-select-comirnaty-as-brand-name-for-covid-19-vaccine"
"16",2021-01-20 14:02:00,"Pfizer and BioNTech to Supply the U.S. with 100 Million Additional Doses of COVID-19 Vaccine - GlobeNewswire","Pfizer and BioNTech to Supply the U.S. with 100 Million Additional Doses of COVID-19 Vaccine&nbsp;&nbsp;GlobeNewswire","https://www.globenewswire.com/news-release/2020/12/23/2149918/0/en/Pfizer-and-BioNTech-to-Supply-the-U-S-with-100-Million-Additional-Doses-of-COVID-19-Vaccine.html"
"17",2021-01-20 14:02:00,"EU to approve extraction of sixth dose from Pfizer-BioNTech vaccine vials - EURACTIV","EU to approve extraction of sixth dose from Pfizer-BioNTech vaccine vials&nbsp;&nbsp;EURACTIV","https://www.euractiv.com/section/health-consumers/news/eu-to-approve-extraction-of-sixth-dose-from-pfizer-biontech-vaccine-vial/"
"18",2021-01-20 14:02:00,"COVID vaccine: BioNTech plans 2 billion doses this year - DW (English)","COVID vaccine: BioNTech plans 2 billion doses this year&nbsp;&nbsp;DW (English)","https://www.dw.com/en/covid-vaccine-biontech-plans-2-billion-doses-this-year/a-56198054"
"19",2021-01-20 14:02:00,"Pfizer and BioNTech to Supply the European Union with 100 Million Additional Doses of COMIRNATY® - GlobeNewswire","Pfizer and BioNTech to Supply the European Union with 100 Million Additional Doses of COMIRNATY®&nbsp;&nbsp;GlobeNewswire","https://www.globenewswire.com/news-release/2020/12/29/2151380/0/en/Pfizer-and-BioNTech-to-Supply-the-European-Union-with-100-Million-Additional-Doses-of-COMIRNATY.html"
"20",2021-01-20 14:02:00,"BioNTech and Pfizer warn of vaccine supply gaps - Yahoo Finance UK","BioNTech and Pfizer warn of vaccine supply gaps&nbsp;&nbsp;Yahoo Finance UK","https://uk.finance.yahoo.com/news/biontech-pfizer-warn-of-vaccine-supply-gaps-coronavirus-163012550.html"
"21",2021-01-20 14:02:00,"UPDATE 1-Baxter to start production in Germany of BioNTech/Pfizer vaccine by early March - Reuters","UPDATE 1-Baxter to start production in Germany of BioNTech/Pfizer vaccine by early March&nbsp;&nbsp;Reuters","https://www.reuters.com/article/health-coronavirus-vaccines-baxter-intl/update-1-baxter-to-start-production-in-germany-of-biontech-pfizer-vaccine-by-early-march-idUSL8N2JO32D"
"22",2021-01-20 14:02:00,"Hong Kong set to approve Pfizer-BioNTech COVID-19 vaccine before end of week - SCMP - Reuters","Hong Kong set to approve Pfizer-BioNTech COVID-19 vaccine before end of week - SCMP&nbsp;&nbsp;Reuters","https://www.reuters.com/article/health-coronavirus-hongkong-vaccine/hong-kong-set-to-approve-pfizer-biontech-covid-19-vaccine-before-end-of-week-scmp-idUSFWN2JV16D"
"23",2021-01-20 14:02:00,"COVID SCIENCE-S. African virus variant may resist antibody drugs; Pfizer/BioNTech vaccine seems to work vs UK variant - Yahoo Finance","COVID SCIENCE-S. African virus variant may resist antibody drugs; Pfizer/BioNTech vaccine seems to work vs UK variant&nbsp;&nbsp;Yahoo Finance","https://finance.yahoo.com/news/covid-science-african-virus-variant-200544988.html"
"24",2021-01-20 14:02:00,"From the lab to the jab: The BioNTech-Pfizer vaccine - RTE.ie","From the lab to the jab: The BioNTech-Pfizer vaccine&nbsp;&nbsp;RTE.ie","https://www.rte.ie/news/coronavirus/2020/1226/1186542-covid-19-vaccine/"
"25",2021-01-20 14:02:00,"France, Romania Receive First Doses of Pfizer BioNTech COVID-19 Vaccine - Voice of America","France, Romania Receive First Doses of Pfizer BioNTech COVID-19 Vaccine&nbsp;&nbsp;Voice of America","https://www.voanews.com/covid-19-pandemic/france-romania-receive-first-doses-pfizer-biontech-covid-19-vaccine"
"26",2021-01-20 14:02:00,"DPM Heng gets first dose of COVID-19 vaccine, says Pfizer-BionTech shot safe for former stroke patients - CNA","DPM Heng gets first dose of COVID-19 vaccine, says Pfizer-BionTech shot safe for former stroke patients&nbsp;&nbsp;CNA","https://www.channelnewsasia.com/news/singapore/covid-19-vaccine-heng-swee-keat-first-dose-pfizer-biontech-14003520"
"27",2021-01-20 14:02:00,"Pfizer-BioNTech vaccine protects against key mutation found in fast-spreading virus variants, study shows - The Washington Post","Pfizer-BioNTech vaccine protects against key mutation found in fast-spreading virus variants, study shows&nbsp;&nbsp;The Washington Post","https://www.washingtonpost.com/health/2021/01/08/pfizer-vaccine-protection-virus-variants/"
"28",2021-01-20 14:02:00,"BioNTech-Pfizer delays COVID vaccine deliveries to 8 EU nations - DW (English)","BioNTech-Pfizer delays COVID vaccine deliveries to 8 EU nations&nbsp;&nbsp;DW (English)","https://www.dw.com/en/biontech-pfizer-delays-covid-vaccine-deliveries-to-8-eu-nations/a-56074466"
"29",2021-01-20 14:02:00,"Malaysia expects to receive BioNTech/Pfizer vaccine - Anadolu Agency","Malaysia expects to receive BioNTech/Pfizer vaccine&nbsp;&nbsp;Anadolu Agency","https://www.aa.com.tr/en/latest-on-coronavirus-outbreak/malaysia-expects-to-receive-biontech-pfizer-vaccine/2106109"
"30",2021-01-20 14:02:00,"Over 6,00,000 UK Citizens Receive First Dose Of Pfizer-BioNTech Vaccine - NDTV","Over 6,00,000 UK Citizens Receive First Dose Of Pfizer-BioNTech Vaccine&nbsp;&nbsp;NDTV","https://www.ndtv.com/world-news/over-600-000-uk-citizens-receive-first-dose-of-pfizer-biontech-vaccine-2343348"
"31",2021-01-20 14:02:00,"Covid-19 roundup: BioNTech offers data showing Pfizer-partnered vaccine protects against variant; Novavax attributes responsibility for PhIII delay to OWS - Endpoints News","Covid-19 roundup: BioNTech offers data showing Pfizer-partnered vaccine protects against variant; Novavax attributes responsibility for PhIII delay to OWS&nbsp;&nbsp;Endpoints News","https://endpts.com/covid-19-roundup-biontech-offers-data-showing-pfizer-partnered-vaccine-protects-against-variant-novavax-attributes-responsibility-for-phiii-delay-to-ows/"
"32",2021-01-20 14:02:00,"Pfizer-BioNTech vaccine: All you want to know - Gulf News","Pfizer-BioNTech vaccine: All you want to know&nbsp;&nbsp;Gulf News","https://gulfnews.com/special-reports/pfizer-biontech-vaccine-all-you-want-to-know-1.76083278"
"33",2021-01-20 14:02:00,"Davao to get Pfizer-BionTech COVID-19 vaccines in February - Minda News","Davao to get Pfizer-BionTech COVID-19 vaccines in February&nbsp;&nbsp;Minda News","https://www.mindanews.com/top-stories/2021/01/davao-to-get-pfizer-biontech-covid-19-vaccines-in-february/"
"34",2021-01-20 14:02:00,"BioNTech says Turkey to receive 4.5 million coronavirus vaccine doses by March | Daily Sabah - Daily Sabah","BioNTech says Turkey to receive 4.5 million coronavirus vaccine doses by March | Daily Sabah&nbsp;&nbsp;Daily Sabah","https://www.dailysabah.com/turkey/biontech-says-turkey-to-receive-45-million-coronavirus-vaccine-doses-by-march/news"
"35",2021-01-20 14:02:00,"EU is asked to approve extra dose from Pfizer vaccine vials, allowing supplies to go further - CNBC","EU is asked to approve extra dose from Pfizer vaccine vials, allowing supplies to go further&nbsp;&nbsp;CNBC","https://www.cnbc.com/2020/12/29/eu-is-asked-to-approve-extra-dose-from-pfizer-vaccine-vials.html"
"36",2021-01-20 14:02:00,"Pfizer-BionTech shot safe for former stroke patients - The Independent","Pfizer-BionTech shot safe for former stroke patients&nbsp;&nbsp;The Independent","https://theindependent.sg/pfizer-biontech-shot-safe-for-former-stroke-patients/"
"37",2021-01-20 14:02:00,"Finland confirms first adverse reaction to Pfizer/BioNTech COVID-19 vaccine - Mint","Finland confirms first adverse reaction to Pfizer/BioNTech COVID-19 vaccine&nbsp;&nbsp;Mint","https://www.livemint.com/news/world/finland-confirms-first-adverse-reaction-to-pfizer-biontech-covid-19-vaccine-11609597093520.html"
"38",2021-01-20 14:02:00,"Biontech/Pfizer: 4.600 fewer doses for Luxembourg in short-term as Biontech/Pfizer temporarily reduce delivery - RTL Today","Biontech/Pfizer: 4.600 fewer doses for Luxembourg in short-term as Biontech/Pfizer temporarily reduce delivery&nbsp;&nbsp;RTL Today","https://today.rtl.lu/news/luxembourg/a/1650144.html"
"39",2021-01-20 14:02:00,"BioNTech, Pfizer’s vaccine partner, warns against delaying 2nd dose - The Times of Israel","BioNTech, Pfizer’s vaccine partner, warns against delaying 2nd dose&nbsp;&nbsp;The Times of Israel","https://www.timesofisrael.com/biontech-pfizers-vaccine-partner-warns-against-delaying-2nd-dose/"
"40",2021-01-20 14:02:00,"Science News Roundup: Pfizer/BioNTech vaccine seems to work vs UK variant; Chinese scientists develop gene therapy which could delay ageing - Devdiscourse","Science News Roundup: Pfizer/BioNTech vaccine seems to work vs UK variant; Chinese scientists develop gene therapy which could delay ageing&nbsp;&nbsp;Devdiscourse","https://www.devdiscourse.com/article/science-environment/1416347-science-news-roundup-pfizerbiontech-vaccine-seems-to-work-vs-uk-variant-chinese-scientists-develop-gene-therapy-which-coul"
"41",2021-01-20 14:02:00,"EU in discussions with Pfizer-BioNTech for additional vaccine doses - Reuters","EU in discussions with Pfizer-BioNTech for additional vaccine doses&nbsp;&nbsp;Reuters","https://www.reuters.com/article/health-coronavirus-eu-pfizer/eu-in-discussions-with-pfizer-biontech-for-additional-vaccine-doses-idUSB5N2B301K?edition-redirect=uk"
"42",2021-01-20 14:02:00,"Portuguese nurse dies two days after taking Pfizer-BioNTechs coronavirus vaccine: Report - Republic World","Portuguese nurse dies two days after taking Pfizer-BioNTechs coronavirus vaccine: Report&nbsp;&nbsp;Republic World","https://www.republicworld.com/world-news/rest-of-the-world-news/portuguese-nurse-dies-two-days-after-taking-pfizer-biontechs-coronavirus-vaccine-report.html"
"43",2021-01-20 14:02:00,"Spain will administer two doses of BioNTech-Pfizer vaccine, minister says - Reuters","Spain will administer two doses of BioNTech-Pfizer vaccine, minister says&nbsp;&nbsp;Reuters","https://www.reuters.com/article/us-health-coronavirus-spain-vaccine/spain-will-administer-two-doses-of-biontech-pfizer-vaccine-minister-says-idUSKBN29924R"
"44",2021-01-20 14:02:00,"European regulator approves drawing six doses from each vial of BioNTech-Pfizer vaccine, boosting available shots by 20% - ABC News","European regulator approves drawing six doses from each vial of BioNTech-Pfizer vaccine, boosting available shots by 20%&nbsp;&nbsp;ABC News","https://abcnews.go.com/Health/wireStory/european-regulator-approves-drawing-doses-vial-biontech-pfizer-75128857"
"45",2021-01-20 14:02:00,"Luxembourg drops order for more vaccine from BioNTech/Pfizer - Luxembourg Times","Luxembourg drops order for more vaccine from BioNTech/Pfizer&nbsp;&nbsp;Luxembourg Times","https://luxtimes.lu/luxembourg/42717-luxembourg-drops-order-for-more-vaccine-from-biontech/pfizer"
"46",2021-01-20 14:02:00,"Covid-19: BioNTech/Pfizer Will Not Submit Vaccine for Emergency Use in Brazil - The Rio Times","Covid-19: BioNTech/Pfizer Will Not Submit Vaccine for Emergency Use in Brazil&nbsp;&nbsp;The Rio Times","https://riotimesonline.com/brazil-news/miscellaneous/covid-19/covid-19-biontech-pfizer-will-not-submit-its-vaccine-for-emergency-use-in-brazil/"
